Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X, Y, Intended X, Intended Y, Scan Velocity, Laser State, Laser Rep. Rate, Spot Type, Spot Size, Spot Angle, MFC1, MFC2, Cell Pressure, Fluence At Sample
2019-04-15 10:31:21.746,,,,,16901,61079,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:31:33.707,17,1,,Line 3 (Copy 13),15829,61130,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:31:33.707,,,1,,15829,61130,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:31:33.707,,,,,15829,61130,15829,61130,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:31:33.707,,,,,15829,61130,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:31:33.707,,,2,,15829,61130,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:32:06.282,,,,,16899,61130,16899,61130,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:32:06.282,,,,,16899,61130,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:32:20.052,18,1,,Line 3 (Copy 14),15829,61179,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:32:20.052,,,1,,15829,61179,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:32:20.052,,,,,15829,61179,15829,61179,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:32:20.052,,,,,15829,61179,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:32:20.052,,,2,,15829,61179,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:32:52.518,,,,,16896,61179,16896,61179,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:32:52.518,,,,,16896,61179,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:06.221,19,1,,Line 3 (Copy 15),15829,61230,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:06.221,,,1,,15829,61230,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:06.221,,,,,15829,61230,15829,61230,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:06.221,,,,,15829,61230,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:33:06.221,,,2,,15829,61230,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:33:38.789,,,,,16900,61230,16900,61230,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:33:38.789,,,,,16900,61230,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:50.744,20,1,,Line 3 (Copy 15) (Copy 1),15830,61279,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:50.744,,,1,,15830,61279,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:50.744,,,,,15830,61279,15830,61279,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:33:50.744,,,,,15830,61279,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:33:50.744,,,2,,15830,61279,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:34:23.290,,,,,16899,61279,16899,61279,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:34:23.290,,,,,16899,61279,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:34:36.785,21,1,,Line 3 (Copy 15) (Copy 2),15829,61330,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:34:36.785,,,1,,15829,61330,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:34:36.785,,,,,15829,61330,15829,61330,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:34:36.785,,,,,15829,61330,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:34:36.785,,,2,,15829,61330,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:35:09.429,,,,,16901,61330,16901,61330,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:35:09.429,,,,,16901,61330,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:35:21.324,22,1,,Line 3 (Copy 15) (Copy 3),15829,61379,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:35:21.324,,,1,,15829,61379,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:35:21.324,,,,,15829,61379,15829,61379,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:35:21.324,,,,,15829,61379,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:35:21.324,,,2,,15829,61379,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:35:53.821,,,,,16897,61379,16897,61379,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:35:53.821,,,,,16897,61379,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:07.189,23,1,,Line 3 (Copy 15) (Copy 4),15829,61430,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:07.189,,,1,,15829,61430,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:07.189,,,,,15829,61430,15829,61430,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:07.189,,,,,15829,61430,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:36:07.189,,,2,,15829,61430,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:36:39.794,,,,,16899,61430,16899,61430,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:36:39.794,,,,,16899,61430,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:53.774,24,1,,Line 3 (Copy 15) (Copy 5),15829,61479,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:53.774,,,1,,15829,61479,,,33,Off,0,Manual: G,50,0,0,0,0,
